                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     83,                0.63675,                 0.4129,                0.91722,                0.80917,                0.75535,                 0.8043,                0.61816,                0.70196,                0.60305,                 1.1632,               0.004588,               0.004588,               0.004588
                     84,                0.62318,                0.40519,                0.91358,                0.83759,                0.74092,                0.78841,                0.60499,                0.71516,                0.52413,                 1.1497,               0.004522,               0.004522,               0.004522
                     85,                0.61801,                0.40422,                0.91995,                0.81347,                  0.771,                 0.8152,                0.61272,                0.71284,                0.56824,                 1.1524,               0.004456,               0.004456,               0.004456
                     86,                0.61928,                0.40379,                 0.9162,                0.83919,                0.74142,                0.78799,                0.59671,                0.71654,                0.67856,                 1.1705,                0.00439,                0.00439,                0.00439
                     87,                0.62515,                0.40304,                0.92244,                0.87614,                0.76857,                0.84026,                 0.5946,                0.73021,                  0.643,                 1.1954,               0.004324,               0.004324,               0.004324
                     88,                0.60708,                0.39288,                0.91162,                0.84596,                0.75085,                0.81615,                0.58977,                0.72377,                0.70952,                 1.1958,               0.004258,               0.004258,               0.004258
                     89,                0.61115,                0.39461,                0.90897,                0.78904,                0.72408,                0.77053,                0.56893,                0.70628,                0.73811,                 1.1608,               0.004192,               0.004192,               0.004192
                     90,                0.61292,                0.39569,                0.91933,                0.80707,                0.77002,                0.80124,                0.59032,                0.72574,                0.59143,                 1.1618,               0.004126,               0.004126,               0.004126
                     91,                0.60691,                 0.3865,                 0.9109,                0.83854,                0.70912,                0.76805,                0.57391,                0.69435,                0.76603,                  1.154,                0.00406,                0.00406,                0.00406
                     92,                0.61752,                 0.3995,                0.92002,                0.85601,                0.71079,                0.77769,                0.59113,                0.66694,                0.82729,                 1.1058,               0.003994,               0.003994,               0.003994
                     93,                0.60162,                0.39381,                0.91793,                0.82455,                0.73971,                0.80655,                  0.597,                0.69123,                0.70594,                 1.1497,               0.003928,               0.003928,               0.003928
                     94,                0.61048,                0.39271,                0.91318,                0.82501,                0.73589,                0.78232,                0.59739,                0.67957,                0.78109,                   1.13,               0.003862,               0.003862,               0.003862
                     95,                0.59882,                0.39053,                0.91198,                0.80126,                0.70284,                0.75057,                0.56988,                0.67253,                0.86254,                 1.1192,               0.003796,               0.003796,               0.003796
                     96,                 0.5803,                0.37829,                0.90824,                0.79901,                0.74515,                0.79686,                0.60128,                0.67155,                0.57279,                 1.1206,                0.00373,                0.00373,                0.00373
