                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     72,                0.68935,                0.39255,                 0.9414,                0.72153,                0.87757,                0.80952,                0.63088,                0.75327,                0.99316,                 1.0667,             0.00052714,             0.00052714,             0.00052714
                     73,                0.67953,                0.38189,                0.93455,                 0.7203,                0.90362,                0.79668,                0.61862,                0.75294,                0.98053,                 1.0698,             0.00052048,             0.00052048,             0.00052048
                     74,                0.67764,                0.38974,                0.93394,                 0.7283,                0.89979,                0.78762,                0.61571,                0.73828,                0.96689,                   1.06,             0.00051382,             0.00051382,             0.00051382
                     75,                0.67773,                0.39684,                0.93121,                0.71792,                0.87451,                0.78731,                0.60743,                0.75908,                  1.001,                 1.0939,             0.00050716,             0.00050716,             0.00050716
                     76,                0.67752,                0.39094,                0.93187,                0.72784,                0.89181,                0.80101,                0.61213,                0.76603,                0.99186,                 1.1074,              0.0005005,              0.0005005,              0.0005005
                     77,                0.66817,                 0.3851,                0.93331,                0.75172,                0.84942,                0.80835,                0.62226,                0.74608,                0.93753,                 1.0833,             0.00049384,             0.00049384,             0.00049384
                     78,                0.66945,                0.38923,                0.93661,                0.74801,                0.86188,                 0.8077,                  0.634,                0.74853,                0.96568,                 1.0951,             0.00048718,             0.00048718,             0.00048718
                     79,                 0.6852,                0.39394,                0.94235,                0.74042,                  0.839,                0.79981,                0.61034,                0.75968,                 1.0219,                 1.0941,             0.00048052,             0.00048052,             0.00048052
                     80,                0.66974,                0.38987,                0.93428,                0.73378,                0.85939,                0.80409,                0.61512,                0.75812,                 1.0085,                 1.0917,             0.00047386,             0.00047386,             0.00047386
                     81,                0.66651,                 0.3919,                0.92588,                0.73461,                0.86213,                0.78953,                0.59795,                0.73979,                 1.0319,                  1.089,              0.0004672,              0.0004672,              0.0004672
                     82,                0.65735,                0.38444,                0.92927,                0.71014,                0.84709,                0.79623,                0.60951,                0.71928,                 1.0232,                 1.0652,             0.00046054,             0.00046054,             0.00046054
